"Township","FIPS","Population
center","Population","Population
density
(/mi²)","Population
density
(/km²)","Land area
(mi²)","Land area
(km²)","Water area
(mi²)","Water area
(km²)","Geographic coordinates"
"Bayliss","90159","","708","24.6","9.5","28.81","74.62","0.0979","0.2536","35°24′10″N 93°14′06″W﻿ / ﻿35.40278°N 93.23500°W"
"Burnett","90558","","452","20.9","8.1","21.65","56.07","0.1051","0.2722","35°19′10″N 92°52′33″W﻿ / ﻿35.31944°N 92.87583°W"
"Center","90735","","515","36.8","14.2","13.99","36.23","0.0339","0.0878","35°24′20″N 92°57′16″W﻿ / ﻿35.40556°N 92.95444°W"
"Clark","90813","London","2969","115.3","44.6","25.73","66.64","6.0444","15.6549","35°19′45″N 93°14′46″W﻿ / ﻿35.32917°N 93.24611°W"
"Convenience","90921","","933","50.4","19.4","18.53","47.99","0.0942","0.2440","35°20′00″N 92°56′41″W﻿ / ﻿35.33333°N 92.94472°W"
"Dover","91134","Dover","5277","119.1","46.0","44.29","114.7","0.3637","0.9420","35°23′30″N 93°07′01″W﻿ / ﻿35.39167°N 93.11694°W"
"Freeman","91377","","98","0.8","0.3","119.78","310.2","0.0000","0.0000","35°39′10″N 93°04′06″W﻿ / ﻿35.65278°N 93.06833°W"
"Galla","91407","Pottsville","3523","88.7","34.3","39.71","102.8","1.8410","4.7682","35°13′15″N 93°02′46″W﻿ / ﻿35.22083°N 93.04611°W"
"Griffin","91536","","901","26.5","10.2","33.96","87.96","0.1106","0.2865","35°25′30″N 92°52′36″W﻿ / ﻿35.42500°N 92.87667°W"
"Gum Log","91560","","1420","71.6","27.6","19.84","51.39","0.0142","0.0368","35°16′30″N 92°59′51″W﻿ / ﻿35.27500°N 92.99750°W"
"Illinois","91812","Russellville","25841","540.9","208.9","47.77","123.7","6.6022","17.0996","35°17′00″N 93°07′46″W﻿ / ﻿35.28333°N 93.12944°W"
"Jackson","91875","Hector","1191","11.5","4.4","103.72","268.6","0.0505","0.1308","35°29′20″N 92°57′01″W﻿ / ﻿35.48889°N 92.95028°W"
"Liberty","92181","","805","14.2","5.5","56.64","146.7","0.0028","0.0073","35°29′40″N 93°03′16″W﻿ / ﻿35.49444°N 93.05444°W"
"Martin","92415","","1482","23.7","9.2","62.46","161.8","0.3931","1.0181","35°28′25″N 93°10′06″W﻿ / ﻿35.47361°N 93.16833°W"
"Moreland","92553","","700","52.2","20.2","13.40","34.71","0.0683","0.1769","35°21′30″N 92°59′46″W﻿ / ﻿35.35833°N 92.99611°W"
"Phoenix","92871","","334","26.7","10.3","12.51","32.40","0.0000","0.0000","35°24′30″N 93°00′31″W﻿ / ﻿35.40833°N 93.00861°W"
"Smyrna","93420","","173","2.4","0.9","70.69","183.1","0.0218","0.0565","35°38′10″N 92°53′46″W﻿ / ﻿35.63611°N 92.89611°W"
"Valley","93765","","2776","125.7","48.5","22.09","57.21","0.0144","0.0373","35°20′05″N 93°02′46″W﻿ / ﻿35.33472°N 93.04611°W"
"Wilson","94089","Atkins","4371","77.6","30.0","56.32","145.9","3.0305","7.8490","35°13′30″N 92°55′01″W﻿ / ﻿35.22500°N 92.91694°W"
